"permalink";"company";"numEmps";"category";"city";"state";"fundedDate";"raisedAmt";"raisedCurrency";"round"
"lifelock";"LifeLock";"";"web";"Tempe";"AZ";"Tue May 01 00:00:00 PDT 2007";"6850000";"USD";"b"
"lifelock";"LifeLock";"";"web";"Tempe";"AZ";"Sun Oct 01 00:00:00 PDT 2006";"6000000";"USD";"a"
"lifelock";"LifeLock";"";"web";"Tempe";"AZ";"Tue Jan 01 00:00:00 PST 2008";"25000000";"USD";"c"
"mycityfaces";"MyCityFaces";"7";"web";"Scottsdale";"AZ";"Tue Jan 01 00:00:00 PST 2008";"50000";"USD";"seed"
"flypaper";"Flypaper";"";"web";"Phoenix";"AZ";"Fri Feb 01 00:00:00 PST 2008";"3000000";"USD";"a"
"infusionsoft";"Infusionsoft";"105";"software";"Gilbert";"AZ";"Mon Oct 01 00:00:00 PDT 2007";"9000000";"USD";"a"
"gauto";"gAuto";"4";"web";"Scottsdale";"AZ";"Tue Jan 01 00:00:00 PST 2008";"250000";"USD";"seed"
"chosenlist-com";"ChosenList.com";"5";"web";"Scottsdale";"AZ";"Sun Oct 01 00:00:00 PDT 2006";"140000";"USD";"seed"
"chosenlist-com";"ChosenList.com";"5";"web";"Scottsdale";"AZ";"Fri Jan 25 00:00:00 PST 2008";"233750";"USD";"angel"
"digg";"Digg";"60";"web";"San Francisco";"CA";"Fri Dec 01 00:00:00 PST 2006";"8500000";"USD";"b"
"digg";"Digg";"60";"web";"San Francisco";"CA";"Sat Oct 01 00:00:00 PDT 2005";"2800000";"USD";"a"
"facebook";"Facebook";"450";"web";"Palo Alto";"CA";"Wed Sep 01 00:00:00 PDT 2004";"500000";"USD";"angel"
"facebook";"Facebook";"450";"web";"Palo Alto";"CA";"Sun May 01 00:00:00 PDT 2005";"12700000";"USD";"a"
"facebook";"Facebook";"450";"web";"Palo Alto";"CA";"Sat Apr 01 00:00:00 PST 2006";"27500000";"USD";"b"
"facebook";"Facebook";"450";"web";"Palo Alto";"CA";"Mon Oct 01 00:00:00 PDT 2007";"300000000";"USD";"c"
"facebook";"Facebook";"450";"web";"Palo Alto";"CA";"Sat Mar 01 00:00:00 PST 2008";"40000000";"USD";"c"
"facebook";"Facebook";"450";"web";"Palo Alto";"CA";"Tue Jan 15 00:00:00 PST 2008";"15000000";"USD";"c"
"facebook";"Facebook";"450";"web";"Palo Alto";"CA";"Thu May 01 00:00:00 PDT 2008";"100000000";"USD";"debt_round"
"photobucket";"Photobucket";"60";"web";"Palo Alto";"CA";"Mon May 01 00:00:00 PDT 2006";"10500000";"USD";"b"
"photobucket";"Photobucket";"60";"web";"Palo Alto";"CA";"Tue Mar 01 00:00:00 PST 2005";"3000000";"USD";"a"
"omnidrive";"Omnidrive";"";"web";"Palo Alto";"CA";"Fri Dec 01 00:00:00 PST 2006";"800000";"USD";"angel"
"geni";"Geni";"18";"web";"West Hollywood";"CA";"Mon Jan 01 00:00:00 PST 2007";"1500000";"USD";"a"
"geni";"Geni";"18";"web";"West Hollywood";"CA";"Thu Mar 01 00:00:00 PST 2007";"10000000";"USD";"b"
"twitter";"Twitter";"17";"web";"San Francisco";"CA";"Sun Jul 01 00:00:00 PDT 2007";"5400000";"USD";"b"
"twitter";"Twitter";"17";"web";"San Francisco";"CA";"Thu May 01 00:00:00 PDT 2008";"15000000";"USD";"c"
"stumbleupon";"StumbleUpon";"";"web";"San Francisco";"CA";"Thu Dec 01 00:00:00 PST 2005";"1500000";"USD";"seed"
"gizmoz";"Gizmoz";"";"web";"Menlo Park";"CA";"Tue May 01 00:00:00 PDT 2007";"6300000";"USD";"a"
"gizmoz";"Gizmoz";"";"web";"Menlo Park";"CA";"Sun Mar 16 00:00:00 PDT 2008";"6500000";"USD";"b"
"scribd";"Scribd";"14";"web";"San Francisco";"CA";"Thu Jun 01 00:00:00 PDT 2006";"12000";"USD";"seed"
"scribd";"Scribd";"14";"web";"San Francisco";"CA";"Mon Jan 01 00:00:00 PST 2007";"40000";"USD";"angel"
"scribd";"Scribd";"14";"web";"San Francisco";"CA";"Fri Jun 01 00:00:00 PDT 2007";"3710000";"USD";"a"
"slacker";"Slacker";"";"web";"San Diego";"CA";"Fri Jun 01 00:00:00 PDT 2007";"40000000";"USD";"b"
"slacker";"Slacker";"";"web";"San Diego";"CA";"Fri Jun 01 00:00:00 PDT 2007";"13500000";"USD";"a"
"lala";"Lala";"";"web";"Palo Alto";"CA";"Tue May 01 00:00:00 PDT 2007";"9000000";"USD";"a"
"plaxo";"Plaxo";"50";"web";"Mountain View";"CA";"Fri Nov 01 00:00:00 PST 2002";"3800000";"USD";"a"
"plaxo";"Plaxo";"50";"web";"Mountain View";"CA";"Tue Jul 01 00:00:00 PDT 2003";"8500000";"USD";"b"
"plaxo";"Plaxo";"50";"web";"Mountain View";"CA";"Thu Apr 01 00:00:00 PST 2004";"7000000";"USD";"c"
"plaxo";"Plaxo";"50";"web";"Mountain View";"CA";"Thu Feb 01 00:00:00 PST 2007";"9000000";"USD";"d"
"powerset";"Powerset";"60";"web";"San Francisco";"CA";"Fri Jun 01 00:00:00 PDT 2007";"12500000";"USD";"a"
"technorati";"Technorati";"25";"web";"San Francisco";"CA";"Thu Jun 01 00:00:00 PDT 2006";"10520000";"USD";"c"
"technorati";"Technorati";"25";"web";"San Francisco";"CA";"Wed Sep 01 00:00:00 PDT 2004";"6500000";"USD";"b"
"technorati";"Technorati";"25";"web";"San Francisco";"CA";"Fri Jun 13 00:00:00 PDT 2008";"7500000";"USD";"d"
"technorati";"Technorati";"25";"web";"San Francisco";"CA";"Thu May 10 00:00:00 PDT 2007";"1000000";"USD";"c"
"mahalo";"Mahalo";"40";"web";"Santa Monica";"CA";"Sun Jan 01 00:00:00 PST 2006";"5000000";"USD";"a"
"mahalo";"Mahalo";"40";"web";"Santa Monica";"CA";"Mon Jan 01 00:00:00 PST 2007";"16000000";"USD";"b"
"kyte";"Kyte";"40";"web";"San Francisco";"CA";"Sun Jul 01 00:00:00 PDT 2007";"2250000";"USD";"a"
"kyte";"Kyte";"40";"web";"San Francisco";"CA";"Sat Dec 01 00:00:00 PST 2007";"15000000";"USD";"b"
"kyte";"Kyte";"40";"web";"San Francisco";"CA";"Mon Mar 10 00:00:00 PDT 2008";"6100000";"USD";"b"
"veoh";"Veoh";"";"web";"San Diego";"CA";"Sat Apr 01 00:00:00 PST 2006";"12500000";"USD";"b"
